right_eye_right_corner_x,right_eye_right_corner_y,right_eye_center_x,right_eye_center_y,right_eye_left_corner_x,right_eye_left_corner_y,left_eye_right_corner_x,left_eye_right_corner_y,left_eye_center_x,left_eye_center_y,left_eye_left_corner_x,left_eye_left_corner_y,filename
172,302,268,260,358,280,613,266,733,248,809,278,2022-09-28 14_30_17.394866-1022.jpg
170,308,262,253,355,277,610,263,727,241,810,282,2022-09-28 14_30_17.400971-1023.jpg
170,303,266,260,361,277,620,263,732,244,808,282,2022-09-28 14_30_17.407361-1024.jpg
174,306,267,259,363,277,621,263,728,240,812,279,2022-09-28 14_30_17.413564-1025.jpg
171,300,264,259,360,278,615,264,726,247,810,282,2022-09-28 14_30_17.419917-1026.jpg
170,305,266,253,361,278,623,263,728,246,809,286,2022-09-28 14_30_17.426187-1027.jpg
169,301,267,262,357,276,628,263,729,245,808,285,2022-09-28 14_30_17.432259-1028.jpg
169,307,267,265,359,276,620,264,727,243,812,285,2022-09-28 14_30_17.438965-1029.jpg
171,305,269,254,359,280,631,260,731,246,806,279,2022-09-28 14_30_17.444895-1030.jpg
168,306,263,262,356,275,622,261,728,246,810,287,2022-09-28 14_30_17.451471-1031.jpg
166,306,266,258,360,276,630,259,732,246,811,282,2022-09-28 14_30_17.458432-1032.jpg
168,303,264,260,385,273,621,263,732,244,808,281,2022-09-28 14_30_17.464240-1033.jpg
171,306,268,262,362,277,623,259,726,244,808,282,2022-09-28 14_30_17.470821-1034.jpg
165,310,265,257,349,277,617,264,727,247,809,286,2022-09-28 14_30_17.476417-1035.jpg
169,305,266,259,352,278,629,263,727,244,807,285,2022-09-28 14_30_17.485589-1036.jpg
169,303,263,259,352,275,626,266,725,254,805,280,2022-09-28 14_30_17.493675-1037.jpg
174,303,266,255,357,279,623,261,727,247,813,283,2022-09-28 14_30_17.499775-1038.jpg
170,310,265,261,349,277,629,262,727,245,804,282,2022-09-28 14_30_17.504961-1039.jpg
169,303,265,254,353,277,620,265,730,244,812,285,2022-09-28 14_30_17.509782-1040.jpg
172,303,267,262,354,279,620,264,727,245,810,281,2022-09-28 14_30_17.513357-1041.jpg
165,309,265,261,362,276,624,261,731,248,810,278,2022-09-28 14_30_17.519941-1042.jpg
172,304,267,255,358,277,626,262,724,249,814,281,2022-09-28 14_30_17.526069-1043.jpg
170,300,269,261,356,277,615,263,730,243,806,282,2022-09-28 14_30_17.532332-1044.jpg
169,313,266,260,349,279,626,258,723,245,808,281,2022-09-28 14_30_17.541102-1045.jpg
163,310,266,262,352,280,618,263,735,251,813,283,2022-09-28 14_30_17.548482-1046.jpg
166,312,268,260,354,279,622,262,727,246,804,280,2022-09-28 14_30_17.555114-1047.jpg
168,308,261,258,350,275,623,262,728,240,805,283,2022-09-28 14_30_17.560277-1048.jpg
165,307,267,256,355,276,625,265,727,246,807,283,2022-09-28 14_30_17.563882-1049.jpg
168,305,268,256,351,279,623,263,727,243,804,284,2022-09-28 14_30_17.569824-1050.jpg
173,302,268,254,354,278,626,262,726,243,803,279,2022-09-28 14_30_17.576496-1051.jpg
173,301,266,253,359,275,628,264,729,242,811,283,2022-09-28 14_30_17.586288-1052.jpg
172,306,260,266,354,277,630,261,729,247,803,279,2022-09-28 14_30_17.594094-1053.jpg
169,305,262,255,353,278,627,261,731,246,805,279,2022-09-28 14_30_17.599715-1054.jpg
174,308,269,263,353,278,618,264,737,246,813,281,2022-09-28 14_30_17.605864-1055.jpg
174,307,267,260,350,275,636,266,726,247,809,283,2022-09-28 14_30_17.612373-1056.jpg
173,300,265,256,356,274,631,260,724,247,811,283,2022-09-28 14_30_17.616762-1057.jpg
172,305,267,261,348,277,634,260,729,243,800,279,2022-09-28 14_30_17.621938-1058.jpg
170,310,267,255,359,277,621,263,728,247,805,282,2022-09-28 14_30_17.626177-1059.jpg
170,301,267,255,350,278,625,264,728,245,806,282,2022-09-28 14_30_17.632320-1060.jpg
167,311,271,260,354,281,629,256,734,242,807,281,2022-09-28 14_30_17.641832-1061.jpg
171,307,267,261,352,279,631,264,723,242,806,281,2022-09-28 14_30_17.647760-1062.jpg
173,304,263,256,352,273,632,264,732,249,802,279,2022-09-28 14_30_17.653720-1063.jpg
173,304,266,260,352,274,631,261,732,245,803,276,2022-09-28 14_30_17.658181-1064.jpg
177,307,263,262,345,274,632,261,733,247,802,278,2022-09-28 14_30_17.663500-1065.jpg
175,306,264,259,360,275,631,259,726,243,806,283,2022-09-28 14_30_17.670128-1066.jpg
175,312,262,266,353,277,635,260,725,243,805,280,2022-09-28 14_30_17.676249-1067.jpg
177,311,263,270,353,274,623,261,728,250,801,283,2022-09-28 14_30_17.682274-1068.jpg
180,314,255,272,356,279,630,263,733,258,799,286,2022-09-28 14_30_17.689492-1069.jpg
179,313,258,279,356,275,630,260,736,262,801,287,2022-09-28 14_30_17.694796-1070.jpg
191,311,256,284,353,278,625,261,740,262,804,287,2022-09-28 14_30_17.701503-1071.jpg
182,313,261,285,357,276,620,262,747,268,808,293,2022-09-28 14_30_17.710807-1072.jpg
189,314,258,282,354,277,617,257,742,262,814,297,2022-09-28 14_30_17.718942-1073.jpg
182,315,262,287,356,279,616,260,736,263,804,286,2022-09-28 14_30_17.725342-1074.jpg
177,317,271,283,352,277,613,261,735,268,810,294,2022-09-28 14_30_17.730004-1075.jpg
170,322,261,289,357,275,614,262,737,271,805,293,2022-09-28 14_30_17.734772-1076.jpg
175,321,263,287,351,276,613,265,735,265,804,301,2022-09-28 14_30_17.739489-1077.jpg
177,313,263,288,359,277,619,259,739,266,804,293,2022-09-28 14_30_17.744935-1078.jpg
180,315,265,284,357,275,617,258,738,263,798,294,2022-09-28 14_30_17.751465-1079.jpg
183,315,266,284,357,274,612,257,738,261,809,293,2022-09-28 14_30_17.757302-1080.jpg
176,311,258,285,360,273,614,260,738,263,796,286,2022-09-28 14_30_17.763560-1081.jpg
173,309,264,276,361,278,614,262,735,260,803,287,2022-09-28 14_30_17.769997-1082.jpg
169,312,254,281,370,274,614,256,734,255,807,289,2022-09-28 14_30_17.776308-1083.jpg
163,313,256,278,361,275,619,259,736,258,800,288,2022-09-28 14_30_17.782229-1084.jpg
165,314,256,274,361,275,617,259,737,254,806,292,2022-09-28 14_30_17.789037-1085.jpg
169,307,250,276,365,274,606,260,735,258,805,286,2022-09-28 14_30_17.794792-1086.jpg
177,309,257,272,355,272,624,262,742,259,803,286,2022-09-28 14_30_17.801367-1087.jpg
174,310,258,274,347,273,616,258,739,252,811,290,2022-09-28 14_30_17.807310-1088.jpg
166,311,260,268,350,277,629,257,731,251,804,291,2022-09-28 14_30_17.813516-1089.jpg
176,310,270,267,351,274,627,256,742,257,802,285,2022-09-28 14_30_17.820137-1090.jpg
172,314,267,271,364,276,623,259,744,254,806,285,2022-09-28 14_30_17.826335-1091.jpg
164,314,261,266,344,275,617,259,748,257,811,291,2022-09-28 14_30_17.832219-1092.jpg
174,314,269,271,359,279,617,260,737,257,802,281,2022-09-28 14_30_17.839314-1093.jpg
169,311,264,259,351,278,631,265,740,254,800,283,2022-09-28 14_30_17.845010-1094.jpg
166,313,273,258,342,274,631,263,740,256,802,284,2022-09-28 14_30_17.855369-1095.jpg
170,312,265,259,355,275,626,262,737,253,806,281,2022-09-28 14_30_17.860368-1096.jpg
179,311,270,261,352,276,636,261,727,244,805,282,2022-09-28 14_30_17.864827-1097.jpg
168,307,268,256,343,271,629,262,726,247,809,285,2022-09-28 14_30_17.870107-1098.jpg
169,309,268,265,349,272,634,262,736,247,803,276,2022-09-28 14_30_17.876222-1099.jpg
164,318,266,257,352,278,626,261,725,244,812,281,2022-09-28 14_30_17.885322-1100.jpg
162,312,268,255,355,277,634,261,725,242,811,283,2022-09-28 14_30_17.894279-1101.jpg
165,308,265,257,356,275,626,262,727,247,811,281,2022-09-28 14_30_17.900833-1102.jpg
171,312,264,262,356,274,629,261,731,245,805,280,2022-09-28 14_30_17.906773-1103.jpg
173,303,268,259,352,280,631,258,729,249,806,282,2022-09-28 14_30_17.910767-1104.jpg
136,343,264,254,357,277,631,261,725,239,807,279,2022-09-28 14_30_17.914727-1105.jpg
171,304,268,255,358,275,633,259,727,244,804,278,2022-09-28 14_30_17.920427-1106.jpg
173,305,270,262,354,280,630,259,727,246,806,278,2022-09-28 14_30_17.929455-1107.jpg
175,302,268,259,348,280,638,261,729,238,807,280,2022-09-28 14_30_17.940043-1108.jpg
178,300,266,258,355,277,635,263,737,243,806,277,2022-09-28 14_30_17.945707-1109.jpg
166,309,269,258,359,272,632,260,728,241,809,281,2022-09-28 14_30_17.949692-1110.jpg
173,309,269,255,351,278,629,261,734,249,810,280,2022-09-28 14_30_17.954915-1111.jpg
168,305,268,261,351,274,626,262,727,247,808,280,2022-09-28 14_30_17.959008-1112.jpg
165,311,267,258,357,276,634,262,732,244,807,279,2022-09-28 14_30_17.963530-1113.jpg
167,305,264,261,353,276,629,260,729,245,808,280,2022-09-28 14_30_17.969850-1114.jpg
174,302,273,260,358,278,631,259,733,241,807,282,2022-09-28 14_30_17.976274-1115.jpg
176,302,267,258,354,276,627,261,727,247,807,279,2022-09-28 14_30_17.982278-1116.jpg
176,306,272,259,350,277,637,259,733,243,809,280,2022-09-28 14_30_17.989054-1117.jpg
170,301,266,256,351,278,630,260,732,244,806,280,2022-09-28 14_30_17.994723-1118.jpg
170,303,266,259,351,277,622,261,730,246,806,282,2022-09-28 14_30_18.001236-1119.jpg
173,301,264,257,351,276,630,260,733,245,806,283,2022-09-28 14_30_18.007386-1120.jpg
806,283,161,314,266,255,365,278,625,265,730,250,2022-09-28 14_30_18.016003-1121.jpg
169,310,265,261,349,278,632,264,739,248,806,278,2022-09-28 14_30_18.022956-1122.jpg
166,305,265,256,351,278,635,261,727,243,804,283,2022-09-28 14_30_18.028565-1123.jpg
173,299,261,255,348,277,635,261,737,246,809,282,2022-09-28 14_30_18.032542-1124.jpg
172,305,270,264,355,274,630,263,728,247,805,279,2022-09-28 14_30_18.039394-1125.jpg
167,310,264,260,349,276,622,261,731,246,806,279,2022-09-28 14_30_18.044735-1126.jpg
170,304,267,261,350,276,627,261,728,246,804,279,2022-09-28 14_30_18.051466-1127.jpg
172,302,260,258,349,275,633,259,730,244,808,284,2022-09-28 14_30_18.059726-1128.jpg
171,311,264,264,487,263,629,260,734,249,808,284,2022-09-28 14_30_18.066650-1129.jpg
172,301,269,257,353,278,627,260,728,249,806,279,2022-09-28 14_30_18.072417-1130.jpg
170,304,267,261,344,277,620,262,734,246,801,278,2022-09-28 14_30_18.077697-1131.jpg
173,303,266,257,357,273,630,262,731,239,804,278,2022-09-28 14_30_18.082270-1132.jpg
170,305,269,262,348,273,637,264,736,245,802,274,2022-09-28 14_30_18.088622-1133.jpg
177,297,273,260,353,275,635,260,730,241,805,280,2022-09-28 14_30_18.094791-1134.jpg
165,305,268,256,352,276,623,263,730,245,806,280,2022-09-28 14_30_18.101380-1135.jpg
171,301,266,260,355,275,626,263,727,244,806,281,2022-09-28 14_30_18.107283-1136.jpg
167,311,269,253,349,276,628,261,725,248,808,282,2022-09-28 14_30_18.113655-1137.jpg
174,298,270,259,350,274,631,261,727,244,804,277,2022-09-28 14_30_18.120029-1138.jpg
177,300,266,265,358,280,635,262,725,245,805,281,2022-09-28 14_30_18.126267-1139.jpg
172,306,264,265,350,272,628,262,731,248,801,280,2022-09-28 14_30_18.132369-1140.jpg
172,303,270,260,348,276,634,263,733,250,806,279,2022-09-28 14_30_18.138594-1141.jpg
170,303,273,261,352,274,639,264,732,244,808,284,2022-09-28 14_30_18.145760-1142.jpg
173,302,262,261,346,278,634,261,729,245,804,280,2022-09-28 14_30_18.151477-1143.jpg
179,300,264,259,351,277,634,260,730,248,803,278,2022-09-28 14_30_18.157363-1144.jpg
171,302,264,259,355,278,621,262,731,246,808,281,2022-09-28 14_30_18.163604-1145.jpg
172,299,265,260,348,279,634,257,729,248,801,279,2022-09-28 14_30_18.170193-1146.jpg
178,294,269,258,354,276,631,265,732,249,800,280,2022-09-28 14_30_18.176291-1147.jpg
170,303,264,260,349,279,627,260,726,252,804,278,2022-09-28 14_30_18.182376-1148.jpg
172,305,266,262,349,275,634,262,736,247,807,283,2022-09-28 14_30_18.189039-1149.jpg
172,300,267,254,350,275,634,263,733,245,803,282,2022-09-28 14_30_18.194825-1150.jpg
167,302,267,254,349,275,638,261,732,245,801,279,2022-09-28 14_30_18.201332-1151.jpg
169,304,269,259,357,276,632,259,734,245,807,280,2022-09-28 14_30_18.207259-1152.jpg
171,306,266,255,351,276,635,261,729,244,807,281,2022-09-28 14_30_18.213494-1153.jpg
170,302,265,257,349,277,622,263,733,243,807,278,2022-09-28 14_30_18.220163-1154.jpg
169,306,270,261,355,278,625,261,733,245,812,280,2022-09-28 14_30_18.226351-1155.jpg
171,303,266,263,348,275,639,262,731,252,807,280,2022-09-28 14_30_18.232547-1156.jpg
169,310,268,260,357,276,637,261,734,240,808,277,2022-09-28 14_30_18.240659-1157.jpg
174,302,273,259,351,273,634,262,731,248,811,278,2022-09-28 14_30_18.246848-1158.jpg
171,304,262,260,360,273,629,261,731,245,808,279,2022-09-28 14_30_18.253165-1159.jpg
172,304,265,259,354,276,638,258,736,243,813,276,2022-09-28 14_30_18.257436-1160.jpg
166,305,268,258,354,276,638,261,733,246,810,280,2022-09-28 14_30_18.263583-1161.jpg
165,314,268,257,358,279,639,259,732,246,807,278,2022-09-28 14_30_18.270204-1162.jpg
166,305,265,259,357,277,632,263,726,243,808,281,2022-09-28 14_30_18.276199-1163.jpg
173,307,265,258,354,280,634,262,733,245,807,279,2022-09-28 14_30_18.282397-1164.jpg
176,301,267,258,354,274,634,259,732,246,806,278,2022-09-28 14_30_18.290987-1165.jpg
170,317,265,262,357,278,638,263,733,246,802,280,2022-09-28 14_30_18.297179-1166.jpg
181,306,270,266,357,278,635,261,730,243,800,281,2022-09-28 14_30_18.303349-1167.jpg
186,307,269,267,354,273,637,262,734,254,801,284,2022-09-28 14_30_18.307516-1168.jpg
178,307,259,276,361,275,615,262,731,250,803,281,2022-09-28 14_30_18.313591-1169.jpg
178,311,261,278,353,276,627,259,736,254,797,282,2022-09-28 14_30_18.320946-1170.jpg
178,314,263,280,358,274,623,256,740,261,808,289,2022-09-28 14_30_18.326878-1171.jpg
177,314,251,283,357,276,621,260,740,260,804,293,2022-09-28 14_30_18.332173-1172.jpg
176,320,262,287,358,273,626,265,742,266,802,291,2022-09-28 14_30_18.338757-1173.jpg
179,319,267,284,362,280,624,262,740,262,799,295,2022-09-28 14_30_18.346624-1174.jpg
176,318,256,288,359,276,627,262,746,267,807,291,2022-09-28 14_30_18.351904-1175.jpg
178,315,267,287,357,272,623,260,737,267,803,293,2022-09-28 14_30_18.357993-1176.jpg
179,318,264,287,359,275,624,263,737,264,809,293,2022-09-28 14_30_18.363574-1177.jpg
179,314,264,287,360,279,615,262,742,262,814,298,2022-09-28 14_30_18.370206-1178.jpg
174,312,262,289,358,276,616,262,736,266,804,296,2022-09-28 14_30_18.376235-1179.jpg
174,313,263,285,367,277,618,262,734,268,804,294,2022-09-28 14_30_18.382274-1180.jpg
178,312,262,285,356,277,619,260,736,258,790,284,2022-09-28 14_30_18.389683-1181.jpg
179,313,257,283,352,276,621,259,737,259,803,291,2022-09-28 14_30_18.394701-1182.jpg
175,313,255,285,363,274,624,261,737,256,804,289,2022-09-28 14_30_18.401478-1183.jpg
174,307,259,277,368,272,613,263,726,253,799,289,2022-09-28 14_30_18.407327-1184.jpg
171,317,254,279,366,274,606,265,736,255,798,283,2022-09-28 14_30_18.413619-1185.jpg
165,316,255,275,357,270,624,263,738,256,793,279,2022-09-28 14_30_18.420172-1186.jpg
179,313,257,265,351,276,618,258,739,258,810,292,2022-09-28 14_30_18.426618-1187.jpg
185,299,262,268,350,275,624,259,731,257,805,290,2022-09-28 14_30_18.432204-1188.jpg
173,310,266,274,361,275,616,259,738,253,804,286,2022-09-28 14_30_18.439056-1189.jpg
176,310,263,267,363,277,365,274,366,274,625,263,2022-09-28 14_30_18.444761-1190.jpg
166,317,265,271,358,274,627,262,740,253,804,289,2022-09-28 14_30_18.451413-1191.jpg
804,291,169,311,267,270,348,274,621,257,737,255,2022-09-28 14_30_18.457329-1192.jpg
173,303,260,258,340,276,629,255,737,247,796,274,2022-09-28 14_30_18.463806-1193.jpg
186,295,265,263,355,274,629,256,735,248,804,282,2022-09-28 14_30_18.470294-1194.jpg
174,304,270,260,355,274,633,259,734,248,803,278,2022-09-28 14_30_18.480234-1195.jpg
168,315,262,260,352,274,628,262,739,252,797,278,2022-09-28 14_30_18.488808-1196.jpg
170,316,272,254,358,277,640,256,732,244,799,278,2022-09-28 14_30_18.495001-1197.jpg
170,312,266,258,342,273,639,257,743,250,798,281,2022-09-28 14_30_18.498963-1198.jpg
175,311,265,259,347,277,627,259,741,243,796,281,2022-09-28 14_30_18.503673-1199.jpg
162,321,256,258,357,277,620,260,722,247,811,281,2022-09-28 14_30_18.507617-1200.jpg
169,305,268,249,365,273,625,259,729,247,810,279,2022-09-28 14_30_18.513631-1201.jpg
173,306,266,261,354,279,625,263,728,245,809,278,2022-09-28 14_30_18.520222-1202.jpg
175,299,270,255,358,274,631,261,730,244,810,276,2022-09-28 14_30_18.526651-1203.jpg
172,298,267,256,355,276,622,260,731,242,811,279,2022-09-28 14_30_18.532290-1204.jpg
168,304,269,260,359,278,621,262,738,242,809,280,2022-09-28 14_30_18.538865-1205.jpg
172,302,266,258,362,278,629,262,727,243,810,279,2022-09-28 14_30_18.545579-1206.jpg
173,301,271,259,354,277,632,261,735,239,812,283,2022-09-28 14_30_18.551474-1207.jpg
173,303,264,257,355,279,624,262,732,242,805,279,2022-09-28 14_30_18.557562-1208.jpg
169,307,266,260,360,274,637,258,733,243,808,281,2022-09-28 14_30_18.563618-1209.jpg
165,309,266,263,361,276,635,263,738,246,808,277,2022-09-28 14_30_18.572308-1210.jpg
172,309,269,260,355,278,639,262,731,250,811,281,2022-09-28 14_30_18.579714-1211.jpg
174,306,269,261,353,278,636,260,729,243,812,284,2022-09-28 14_30_18.586040-1212.jpg
172,306,271,258,367,277,625,259,730,243,813,278,2022-09-28 14_30_18.590592-1213.jpg
171,308,269,257,360,274,620,261,735,246,810,283,2022-09-28 14_30_18.594904-1214.jpg
169,305,263,259,352,280,632,262,735,243,811,282,2022-09-28 14_30_18.601594-1215.jpg
171,311,268,256,353,273,637,256,728,243,807,276,2022-09-28 14_30_18.607410-1216.jpg
174,303,270,253,355,274,634,260,734,246,807,278,2022-09-28 14_30_18.613817-1217.jpg
173,299,269,258,359,277,634,258,731,242,804,280,2022-09-28 14_30_18.620179-1218.jpg
172,303,270,261,358,277,632,260,726,249,805,281,2022-09-28 14_30_18.626956-1219.jpg
171,299,265,258,360,277,622,260,738,246,813,283,2022-09-28 14_30_18.636599-1220.jpg
170,301,264,262,354,281,633,263,729,239,812,280,2022-09-28 14_30_18.644591-1221.jpg
173,302,264,260,355,278,627,261,730,241,807,280,2022-09-28 14_30_18.653927-1222.jpg
164,311,264,263,360,278,629,256,723,252,802,278,2022-09-28 14_30_18.661386-1223.jpg
173,301,268,255,366,278,613,263,725,243,809,279,2022-09-28 14_30_18.667331-1224.jpg
171,302,267,258,356,279,635,263,733,247,810,279,2022-09-28 14_30_18.673064-1225.jpg
177,298,266,257,348,278,633,261,735,242,809,279,2022-09-28 14_30_18.678040-1226.jpg
179,305,264,264,349,276,634,260,728,245,806,277,2022-09-28 14_30_18.681417-1227.jpg
175,301,266,261,357,277,634,261,726,243,805,280,2022-09-28 14_30_18.684659-1228.jpg
173,303,265,261,358,275,632,260,729,246,804,277,2022-09-28 14_30_18.689016-1229.jpg
170,306,270,260,354,276,632,261,729,242,805,280,2022-09-28 14_30_18.694849-1230.jpg
177,305,268,259,345,278,632,261,731,238,811,281,2022-09-28 14_30_18.701421-1231.jpg
173,306,267,261,353,278,637,261,730,244,808,283,2022-09-28 14_30_18.707319-1232.jpg
173,303,264,259,353,277,621,264,724,240,806,283,2022-09-28 14_30_18.713723-1233.jpg
165,308,268,259,358,274,633,263,727,237,808,283,2022-09-28 14_30_18.720068-1234.jpg
161,314,267,258,350,276,627,259,730,243,807,280,2022-09-28 14_30_18.726351-1235.jpg
168,306,268,261,353,276,627,262,734,240,808,280,2022-09-28 14_30_18.732270-1236.jpg
170,317,267,263,347,279,634,258,726,242,807,281,2022-09-28 14_30_18.738699-1237.jpg
164,315,274,253,355,278,636,263,723,241,810,279,2022-09-28 14_30_18.745557-1238.jpg
174,303,270,260,357,278,630,262,732,244,812,282,2022-09-28 14_30_18.751623-1239.jpg
169,305,272,261,354,276,629,262,728,244,804,281,2022-09-28 14_30_18.757681-1240.jpg
173,307,267,261,356,275,631,265,734,245,805,280,2022-09-28 14_30_18.763608-1241.jpg
170,307,267,259,355,277,630,262,727,247,801,278,2022-09-28 14_30_18.770266-1242.jpg
174,303,267,254,358,279,622,260,725,241,806,279,2022-09-28 14_30_18.776779-1243.jpg
173,302,269,260,358,278,626,261,731,241,805,279,2022-09-28 14_30_18.782410-1244.jpg
173,300,266,259,351,276,625,263,726,243,807,280,2022-09-28 14_30_18.789000-1245.jpg
167,305,264,259,348,276,639,261,731,244,803,281,2022-09-28 14_30_18.794906-1246.jpg
171,305,267,255,353,279,625,259,728,243,802,281,2022-09-28 14_30_18.801595-1247.jpg
169,305,266,256,344,278,627,261,734,249,803,279,2022-09-28 14_30_18.807451-1248.jpg
163,306,268,255,351,277,631,260,726,242,805,277,2022-09-28 14_30_18.813656-1249.jpg
173,296,264,262,345,278,642,261,732,244,806,277,2022-09-28 14_30_18.820364-1250.jpg
172,307,265,250,353,273,636,260,731,248,807,277,2022-09-28 14_30_18.828421-1251.jpg
174,298,264,256,358,274,627,260,729,247,808,281,2022-09-28 14_30_18.832254-1252.jpg
174,304,269,259,356,275,622,261,729,240,808,278,2022-09-28 14_30_18.838669-1253.jpg
166,315,265,256,353,275,627,262,736,245,803,280,2022-09-28 14_30_18.845015-1254.jpg
167,312,262,260,351,279,628,263,727,245,804,277,2022-09-28 14_30_18.851426-1255.jpg
174,307,267,263,356,277,632,258,728,242,808,280,2022-09-28 14_30_18.857432-1256.jpg
173,301,266,259,348,278,636,261,729,241,812,279,2022-09-28 14_30_18.863631-1257.jpg
175,302,269,257,354,279,629,263,729,247,808,278,2022-09-28 14_30_18.870357-1258.jpg
175,299,268,259,354,275,634,260,734,243,811,280,2022-09-28 14_30_18.876720-1259.jpg
167,302,267,256,352,274,631,262,731,246,806,278,2022-09-28 14_30_18.882414-1260.jpg
180,300,266,260,355,278,629,259,730,246,811,281,2022-09-28 14_30_18.888978-1261.jpg
171,308,270,258,355,277,630,260,736,243,810,279,2022-09-28 14_30_18.894866-1262.jpg
168,303,270,258,357,276,628,261,726,244,808,281,2022-09-28 14_30_18.901669-1263.jpg
176,304,265,258,353,274,630,258,730,244,802,277,2022-09-28 14_30_18.907363-1264.jpg
179,300,269,259,348,274,636,262,729,245,805,278,2022-09-28 14_30_18.913658-1265.jpg
177,308,265,259,349,277,638,260,730,245,799,279,2022-09-28 14_30_18.920228-1266.jpg
186,300,268,257,362,273,629,261,730,248,801,279,2022-09-28 14_30_18.926789-1267.jpg
183,308,260,263,355,275,635,263,731,249,803,278,2022-09-28 14_30_18.932614-1268.jpg
180,307,259,269,357,273,632,262,736,252,803,279,2022-09-28 14_30_18.942615-1269.jpg
181,309,256,282,350,276,627,259,733,259,795,280,2022-09-28 14_30_18.949014-1270.jpg
175,311,253,283,366,277,618,263,745,260,807,290,2022-09-28 14_30_18.955245-1271.jpg
183,312,263,282,363,273,621,264,742,261,806,290,2022-09-28 14_30_18.960429-1272.jpg
180,310,263,287,365,274,618,261,739,260,807,291,2022-09-28 14_30_18.964354-1273.jpg
180,316,268,287,366,275,624,262,741,264,809,296,2022-09-28 14_30_18.970184-1274.jpg
179,315,265,285,359,275,621,260,743,263,805,294,2022-09-28 14_30_18.976428-1275.jpg
182,315,271,283,360,278,623,259,732,263,810,297,2022-09-28 14_30_18.982657-1276.jpg
188,312,262,286,358,276,610,264,737,263,806,295,2022-09-28 14_30_18.991992-1277.jpg
179,314,264,284,356,275,620,263,739,264,810,294,2022-09-28 14_30_18.998251-1278.jpg
180,312,264,284,362,278,623,260,750,267,809,293,2022-09-28 14_30_19.004385-1279.jpg
183,311,266,283,360,272,630,261,740,263,805,295,2022-09-28 14_30_19.007353-1280.jpg
181,313,265,286,358,274,621,265,742,268,809,297,2022-09-28 14_30_19.013905-1281.jpg
171,313,260,280,366,274,613,262,741,265,807,286,2022-09-28 14_30_19.022918-1282.jpg
173,311,265,277,359,275,620,261,732,260,804,291,2022-09-28 14_30_19.029544-1283.jpg
175,312,256,280,355,276,631,260,749,255,804,287,2022-09-28 14_30_19.035899-1284.jpg
176,310,264,272,362,276,624,261,737,258,799,284,2022-09-28 14_30_19.040525-1285.jpg
181,309,253,274,359,277,628,262,736,256,802,289,2022-09-28 14_30_19.044901-1286.jpg
170,314,249,277,347,277,623,259,745,254,810,284,2022-09-28 14_30_19.051584-1287.jpg
174,313,263,267,353,277,634,257,749,254,809,285,2022-09-28 14_30_19.057486-1288.jpg
168,314,257,271,361,277,631,258,738,256,800,286,2022-09-28 14_30_19.063585-1289.jpg
176,313,263,264,348,277,620,260,736,254,802,285,2022-09-28 14_30_19.070252-1290.jpg
174,305,264,266,350,276,628,259,739,253,802,287,2022-09-28 14_30_19.076705-1291.jpg
